Date,Assigned to,Newspaper,Link,Section,Key words,Opinion adm,Opinion CDC,Briefly observation,,,,,,,,,,,
3/8/2020,J,The New York Post,https://nypost.com/2020/03/08/coronavirus-in-ny-de-blasio-urges-sick-new-yorkers-to-stay-off-the-subways/,Metro,"subway, sick, cough into your elbow",nada,nada,urged people who are sick to stay off the subways.,,,,,,,,,,,
3/8/2020,J,The New York Post,https://nypost.com/2020/03/08/coronavirus-in-ny-westchester-lawyers-family-breaks-silence-on-his/,News,"quarantined, law firm, Wastchester",nada,nada,,,,,,,,,,,,
3/8/2020,J,The New York Post,https://nypost.com/2020/03/08/coronavirus-patients-experience-certain-symptoms-before-tipping-point-of-dying-expert/,News,danger symptoms,nada,nada,,,,,,,,,,,,
3/8/2020,J,The New York Post,https://nypost.com/2020/03/08/ben-carson-says-plans-for-coronavirus-stricken-cruise-ship-arent-fully-formulated/,News,"cruise, plan",-1,nada,"secretary for Housing and Urban Development, said that plans were not “fully formulated” for handling the coronavirus-stricken cruise ",,,,,,,,,,,
3/8/2020,J,The New York Post,https://nypost.com/2020/03/08/cpac-attendee-has-coronavirus-didnt-come-into-contact-with-trump-or-pence/,News,"annual event, president, contact",nada,nada,,,,,,,,,,,,
3/8/2020,J,The New York Post,https://nypost.com/2020/03/08/surgeon-general-expect-more-coronavirus-deaths-but-dont-panic/,News,"death, cases",nada,nada,"you’re going to see more deaths, but that doesn’t mean that we should panic",,,,,,,,,,,
3/8/2020,J,The New York Post,https://nypost.com/2020/03/08/westchester-county-school-closes-over-coronavirus-for-rest-of-year-despite-no-cases/,Metro,"Westchester County school, close, ",nada,nada,,,,,,,,,,,,
3/8/2020,J,The New York Post,https://nypost.com/2020/03/08/us-marine-tests-positive-for-coronavirus-in-virginia-as-army-restricts-travel/,News,"US marine positive, travels, Army",nada,nada,Army restricts travel,,,,,,,,,,,
3/8/2020,J,The New York Post,https://nypost.com/2020/03/08/can-my-boss-force-me-to-travel-to-italy-despite-coronavirus-concerns/,Living,"travel, italy, plane",nada,nada,My employer wants me to fly to Italy for an important meeting. I don’t want to go,,,,,,,,,,,
3/8/2020,J,The New York Post,https://nypost.com/2020/03/08/coronavirus-in-ny-105-coronavirus-cases-in-new-york-or-16-more-than-saturday/,Metro,"state of emergency, confirmed cases",nada,nada,The number of confirmed coronavirus cases in New York is now 105,,,,,,,,,,,
3/8/2020,J,The New York Post,https://nypost.com/2020/03/08/chinese-man-dies-from-coronavirus-five-days-after-getting-all-clear-to-leave-hospital/,News,"Chinese man, dead, wuhan",nada,nada,,,,,,,,,,,,
3/8/2020,J,The New York Post,https://nypost.com/2020/03/08/trump-insists-administration-has-perfectly-coordinated-plan-to-fight-the-coronavirus/,News,"Trump administration, plan",1,nada,has a “perfectly coordinated” plan to combat the coronavirus,,,,,,,,,,,
3/8/2020,J,The New York Post,https://nypost.com/2020/03/08/coronavirus-stricken-grand-princess-cruise-ship-to-dock-in-oakland-california/,News,"cruise,  sick passengers",nada,nada,,,,,,,,,,,,
3/8/2020,J,The New York Post,https://nypost.com/2020/03/08/queen-elizabeth-ii-plans-to-keep-calm-and-carry-on-during-coronavirus/,News,"queen elizabeth, UK",nada,nada,,,,,,,,,,,,
3/8/2020,J,The New York Post,https://nypost.com/2020/03/08/pope-francis-livestreams-sunday-prayers-amid-italys-coronavirus-outbreak/,News,"pope Francis, Italy, prayers",nada,nada,,,,,,,,,,,,
